,name,group_order,prd_tuples
203,A_2^1+B_3^1+B_5^1,30,"[(2, 1, 1), (3, 1, 2), (5, 1, 2)]"
204,B_2^1+B_3^1+B_5^1,30,"[(2, 1, 2), (3, 1, 2), (5, 1, 2)]"
205,A_31^1,31,"[(31, 1, 1)]"
206,B_31^1,31,"[(31, 1, 2)]"
207,A_2^5,32,"[(2, 5, 1)]"
208,B_2^5,32,"[(2, 5, 2)]"
209,C_2^5,32,"[(2, 5, 3)]"
210,D_2^5,32,"[(2, 5, 4)]"
211,A_2^4+A_2^1,32,"[(2, 4, 1), (2, 1, 1)]"
212,B_2^4+A_2^1,32,"[(2, 4, 2), (2, 1, 1)]"
213,C_2^4+A_2^1,32,"[(2, 4, 3), (2, 1, 1)]"
214,D_2^4+A_2^1,32,"[(2, 4, 4), (2, 1, 1)]"
215,A_2^4+B_2^1,32,"[(2, 4, 1), (2, 1, 2)]"
216,B_2^4+B_2^1,32,"[(2, 4, 2), (2, 1, 2)]"
217,C_2^4+B_2^1,32,"[(2, 4, 3), (2, 1, 2)]"
218,D_2^4+B_2^1,32,"[(2, 4, 4), (2, 1, 2)]"
219,A_2^3+A_2^2,32,"[(2, 3, 1), (2, 2, 1)]"
220,B_2^3+A_2^2,32,"[(2, 3, 2), (2, 2, 1)]"
221,C_2^3+A_2^2,32,"[(2, 3, 3), (2, 2, 1)]"
222,D_2^3+A_2^2,32,"[(2, 3, 4), (2, 2, 1)]"
223,B_2^3+B_2^2,32,"[(2, 3, 2), (2, 2, 2)]"
224,D_2^3+B_2^2,32,"[(2, 3, 4), (2, 2, 2)]"
225,B_2^3+C_2^2,32,"[(2, 3, 2), (2, 2, 3)]"
226,D_2^3+C_2^2,32,"[(2, 3, 4), (2, 2, 3)]"
227,A_2^3+A_2^1+A_2^1,32,"[(2, 3, 1), (2, 1, 1), (2, 1, 1)]"
228,B_2^3+A_2^1+A_2^1,32,"[(2, 3, 2), (2, 1, 1), (2, 1, 1)]"
229,A_2^3+A_2^1+B_2^1,32,"[(2, 3, 1), (2, 1, 1), (2, 1, 2)]"
230,B_2^3+A_2^1+B_2^1,32,"[(2, 3, 2), (2, 1, 1), (2, 1, 2)]"
231,A_2^3+B_2^1+B_2^1,32,"[(2, 3, 1), (2, 1, 2), (2, 1, 2)]"
232,B_2^3+B_2^1+B_2^1,32,"[(2, 3, 2), (2, 1, 2), (2, 1, 2)]"
233,A_2^3+E_2^1,32,"[(2, 3, 1), (2, 1, 5)]"
234,B_2^3+E_2^1,32,"[(2, 3, 2), (2, 1, 5)]"
235,C_2^3+E_2^1,32,"[(2, 3, 3), (2, 1, 5)]"
236,D_2^3+E_2^1,32,"[(2, 3, 4), (2, 1, 5)]"
237,A_2^3+F_2^1,32,"[(2, 3, 1), (2, 1, 6)]"
238,B_2^3+F_2^1,32,"[(2, 3, 2), (2, 1, 6)]"
239,C_2^3+F_2^1,32,"[(2, 3, 3), (2, 1, 6)]"
240,D_2^3+F_2^1,32,"[(2, 3, 4), (2, 1, 6)]"
241,A_2^2+A_2^2+A_2^1,32,"[(2, 2, 1), (2, 2, 1), (2, 1, 1)]"
242,A_2^2+B_2^2+A_2^1,32,"[(2, 2, 1), (2, 2, 2), (2, 1, 1)]"
243,B_2^2+B_2^2+A_2^1,32,"[(2, 2, 2), (2, 2, 2), (2, 1, 1)]"
244,B_2^2+C_2^2+A_2^1,32,"[(2, 2, 2), (2, 2, 3), (2, 1, 1)]"
245,E_2^2+A_2^1,32,"[(2, 2, 5), (2, 1, 1)]"
246,E_2^2+B_2^1,32,"[(2, 2, 5), (2, 1, 2)]"
247,A_2^2+A_2^1+A_2^1+A_2^1,32,"[(2, 2, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
248,B_2^2+A_2^1+A_2^1+A_2^1,32,"[(2, 2, 2), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
249,C_2^2+A_2^1+A_2^1+A_2^1,32,"[(2, 2, 3), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
250,D_2^2+A_2^1+A_2^1+A_2^1,32,"[(2, 2, 4), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
251,A_2^1+A_2^1+A_2^1+A_2^1+A_2^1,32,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
252,A_2^1+A_2^1+A_2^1+A_2^1+B_2^1,32,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 2)]"
253,A_2^1+A_2^1+A_2^1+B_2^1+B_2^1,32,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 2), (2, 1, 2)]"
254,A_2^1+A_2^1+B_2^1+B_2^1+B_2^1,32,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (2, 1, 2), (2, 1, 2)]"
255,A_3^1+A_11^1,33,"[(3, 1, 1), (11, 1, 1)]"
256,B_3^1+A_11^1,33,"[(3, 1, 2), (11, 1, 1)]"
257,A_3^1+B_11^1,33,"[(3, 1, 1), (11, 1, 2)]"
258,B_3^1+B_11^1,33,"[(3, 1, 2), (11, 1, 2)]"
259,A_2^1+A_17^1,34,"[(2, 1, 1), (17, 1, 1)]"
260,B_2^1+A_17^1,34,"[(2, 1, 2), (17, 1, 1)]"
261,A_2^1+B_17^1,34,"[(2, 1, 1), (17, 1, 2)]"
262,B_2^1+B_17^1,34,"[(2, 1, 2), (17, 1, 2)]"
263,A_5^1+A_7^1,35,"[(5, 1, 1), (7, 1, 1)]"
264,B_5^1+A_7^1,35,"[(5, 1, 2), (7, 1, 1)]"
265,A_5^1+B_7^1,35,"[(5, 1, 1), (7, 1, 2)]"
266,B_5^1+B_7^1,35,"[(5, 1, 2), (7, 1, 2)]"
267,A_2^2+A_3^2,36,"[(2, 2, 1), (3, 2, 1)]"
268,B_2^2+A_3^2,36,"[(2, 2, 2), (3, 2, 1)]"
269,C_2^2+A_3^2,36,"[(2, 2, 3), (3, 2, 1)]"
270,D_2^2+A_3^2,36,"[(2, 2, 4), (3, 2, 1)]"
271,A_2^2+B_3^2,36,"[(2, 2, 1), (3, 2, 2)]"
272,B_2^2+B_3^2,36,"[(2, 2, 2), (3, 2, 2)]"
273,C_2^2+B_3^2,36,"[(2, 2, 3), (3, 2, 2)]"
274,D_2^2+B_3^2,36,"[(2, 2, 4), (3, 2, 2)]"
275,A_2^2+A_3^1+A_3^1,36,"[(2, 2, 1), (3, 1, 1), (3, 1, 1)]"
276,B_2^2+A_3^1+A_3^1,36,"[(2, 2, 2), (3, 1, 1), (3, 1, 1)]"
277,C_2^2+A_3^1+A_3^1,36,"[(2, 2, 3), (3, 1, 1), (3, 1, 1)]"
278,D_2^2+A_3^1+A_3^1,36,"[(2, 2, 4), (3, 1, 1), (3, 1, 1)]"
279,A_2^1+A_2^1+A_3^2,36,"[(2, 1, 1), (2, 1, 1), (3, 2, 1)]"
280,A_2^1+B_2^1+A_3^2,36,"[(2, 1, 1), (2, 1, 2), (3, 2, 1)]"
